,donor,transconjugant
0,"{PetriNet('donor_0_net'): 1, 'R_plasmid_molecule': 1}",{PetriNet('transconjugant_0_net'): 1}
1,"{PetriNet('donor_0_net'): 1, 'R_protein_molecule': 1, 'R_plasmid_molecule': 1}",{PetriNet('transconjugant_0_net'): 1}
2,"{PetriNet('donor_0_net'): 1, 'R_plasmid_molecule': 1}",{PetriNet('transconjugant_0_net'): 1}
3,"{PetriNet('donor_0_net'): 1, 'R_protein_molecule': 1, 'R_plasmid_molecule': 1}",{PetriNet('transconjugant_0_net'): 1}
4,"{PetriNet('donor_0_net'): 1, 'R_protein_molecule': 1, 'R_plasmid_molecule': 1}",{PetriNet('transconjugant_0_net'): 1}
5,"{PetriNet('donor_0_net'): 1, 'R_protein_molecule': 1, 'R_plasmid_molecule': 1}",{PetriNet('transconjugant_0_net'): 1}
6,"{PetriNet('donor_0_net'): 1, 'R_protein_molecule': 1, 'R_plasmid_molecule': 1}",{PetriNet('transconjugant_0_net'): 1}
7,"{PetriNet('donor_0_net'): 1, 'R_protein_molecule': 1, 'R_plasmid_molecule': 1}",{PetriNet('transconjugant_0_net'): 1}
8,"{PetriNet('donor_0_net'): 1, 'R_protein_molecule': 2, 'R_plasmid_molecule': 1}",{PetriNet('transconjugant_0_net'): 1}
9,"{PetriNet('donor_0_net'): 1, 'R_protein_molecule': 2, 'R_plasmid_molecule': 1}",{PetriNet('transconjugant_0_net'): 1}
10,"{PetriNet('donor_0_net'): 1, 'R_protein_molecule': 2, 'R_plasmid_molecule': 1}",{PetriNet('transconjugant_0_net'): 1}
11,"{PetriNet('donor_0_net'): 1, 'R_protein_molecule': 2, 'R_plasmid_molecule': 1}",{PetriNet('transconjugant_0_net'): 1}
12,"{PetriNet('donor_0_net'): 1, 'R_protein_molecule': 2, 'R_plasmid_molecule': 1}",{PetriNet('transconjugant_0_net'): 1}
13,"{PetriNet('donor_0_net'): 1, 'R_protein_molecule': 2, 'R_plasmid_molecule': 1}",{PetriNet('transconjugant_0_net'): 1}
14,"{PetriNet('donor_0_net'): 1, 'R_protein_molecule': 1, 'R_plasmid_molecule': 1}",{PetriNet('transconjugant_0_net'): 1}
15,"{PetriNet('donor_0_net'): 1, 'R_plasmid_molecule': 1}",{PetriNet('transconjugant_0_net'): 1}
16,"{PetriNet('donor_0_net'): 1, 'R_protein_molecule': 1, 'R_plasmid_molecule': 1}",{PetriNet('transconjugant_0_net'): 1}
17,"{PetriNet('donor_0_net'): 1, 'R_protein_molecule': 1, 'R_plasmid_molecule': 1}",{PetriNet('transconjugant_0_net'): 1}
18,"{PetriNet('donor_0_net'): 1, 'R_protein_molecule': 1, 'R_plasmid_molecule': 1}",{PetriNet('transconjugant_0_net'): 1}
19,"{PetriNet('donor_0_net'): 1, 'R_protein_molecule': 1, 'R_plasmid_molecule': 1}",{PetriNet('transconjugant_0_net'): 1}
20,"{PetriNet('donor_0_net'): 1, 'R_protein_molecule': 1, 'R_plasmid_molecule': 1}",{PetriNet('transconjugant_0_net'): 1}
21,"{PetriNet('donor_0_net'): 1, 'R_protein_molecule': 1, 'R_plasmid_molecule': 1}",{PetriNet('transconjugant_0_net'): 1}
22,"{PetriNet('donor_0_net'): 1, 'R_plasmid_molecule': 1}",{PetriNet('transconjugant_0_net'): 1}
23,"{PetriNet('donor_0_net'): 1, 'R_protein_molecule': 1, 'R_plasmid_molecule': 1}",{PetriNet('transconjugant_0_net'): 1}
24,"{PetriNet('donor_0_net'): 1, 'R_protein_molecule': 1, 'R_plasmid_molecule': 1}",{PetriNet('transconjugant_0_net'): 1}
25,"{PetriNet('donor_0_net'): 1, 'R_protein_molecule': 1, 'R_plasmid_molecule': 1}",{PetriNet('transconjugant_0_net'): 1}
26,"{PetriNet('donor_0_net'): 1, 'R_protein_molecule': 1, 'R_plasmid_molecule': 1}",{PetriNet('transconjugant_0_net'): 1}
27,"{PetriNet('donor_0_net'): 1, 'R_plasmid_molecule': 1}",{PetriNet('transconjugant_0_net'): 1}
28,"{PetriNet('donor_0_net'): 1, 'R_protein_molecule': 1, 'R_plasmid_molecule': 1}",{PetriNet('transconjugant_0_net'): 1}
29,"{PetriNet('donor_0_net'): 1, 'R_plasmid_molecule': 1}",{PetriNet('transconjugant_0_net'): 1}
30,"{PetriNet('donor_0_net'): 1, 'R_protein_molecule': 1, 'R_plasmid_molecule': 1}",{PetriNet('transconjugant_0_net'): 1}
31,"{PetriNet('donor_0_net'): 1, 'R_protein_molecule': 1, 'R_plasmid_molecule': 1}",{PetriNet('transconjugant_0_net'): 1}
32,"{PetriNet('donor_0_net'): 1, 'R_plasmid_molecule': 1}",{PetriNet('transconjugant_0_net'): 1}
33,"{PetriNet('donor_0_net'): 1, 'R_protein_molecule': 1, 'R_plasmid_molecule': 1}",{PetriNet('transconjugant_0_net'): 1}
34,"{PetriNet('donor_0_net'): 1, 'R_protein_molecule': 1, 'R_plasmid_molecule': 1}",{PetriNet('transconjugant_0_net'): 1}
