,R_plasmid_molecule,R_plasmid_strand_molecule,R_protein_molecule
0,{},{},{}
1,{},{},{}
2,{},{},{}
3,{},{},{}
4,{},{},{}
5,{},{},{}
6,{},{},{}
7,{},{},{}
8,{},{},{}
9,{},{},{}
10,{},{},{}
11,{},{},{}
12,{},{},{}
13,{},{},{}
14,{},{},{}
15,{},{},{}
16,{},{},{}
17,{},{},{}
18,{},{},{}
19,{},{},{}
20,{},{},{}
21,{},{},{}
22,{},{},{}
23,{},{},{}
24,{},{},{}
25,{},{},{}
26,{},{},{}
27,{},{},{}
28,{},{},{}
29,{},{},{}
30,{},{},{}
31,{},{},{}
32,{},{},{}
33,{},{},{}
34,{},{},{}
35,{},{},{}
36,{},{},{}
37,{},{},{}
38,{},{},{}
39,{},{},{}
40,{},{},{}
41,{},{},{}
42,{},{},{}
43,{},{},{}
44,{},{},{}
45,{},{},{}
46,{},{},{}
47,{},{},{}
48,{},{},{}
49,{},{},{}
50,{},{},{}
51,{},{},{}
52,{},{dot: 1},{}
53,{dot: 1},{},{}
54,{dot: 1},{},{dot: 1}
55,{dot: 1},{},{dot: 1}
56,{dot: 1},{},{dot: 1}
57,{dot: 1},{},{dot: 2}
58,{dot: 1},{},{dot: 1}
59,{dot: 1},{},{dot: 2}
60,{dot: 1},{},{dot: 2}
61,{dot: 1},{},{dot: 1}
62,{dot: 1},{},{dot: 1}
63,{dot: 1},{},{dot: 1}
64,{dot: 1},{},{dot: 1}
65,{dot: 1},{},{dot: 1}
66,{dot: 1},{},{}
67,{dot: 1},{},{dot: 1}
68,{dot: 1},{},{dot: 1}
69,{dot: 1},{},{}
70,{dot: 1},{},{dot: 1}
71,{dot: 1},{},{dot: 1}
72,{dot: 1},{},{dot: 1}
73,{dot: 1},{},{}
74,{dot: 1},{},{dot: 1}
75,{dot: 1},{},{dot: 2}
76,{dot: 1},{},{dot: 2}
77,{dot: 1},{},{dot: 3}
78,{dot: 1},{},{dot: 3}
79,{dot: 1},{},{dot: 3}
80,{dot: 1},{},{dot: 2}
81,{dot: 1},{},{dot: 2}
82,{dot: 1},{},{dot: 2}
83,{dot: 1},{},{dot: 3}
84,{dot: 1},{},{dot: 3}
85,{dot: 1},{},{dot: 2}
86,{dot: 1},{},{dot: 1}
87,{dot: 1},{},{dot: 1}
88,{dot: 1},{},{dot: 2}
89,{dot: 1},{},{dot: 2}
90,{dot: 1},{},{dot: 3}
91,{dot: 1},{},{dot: 3}
92,{dot: 1},{},{dot: 3}
93,{dot: 1},{},{dot: 3}
94,{dot: 1},{},{dot: 3}
95,{dot: 1},{},{dot: 2}
96,{dot: 1},{},{dot: 3}
97,{dot: 1},{},{dot: 4}
98,{dot: 1},{},{dot: 3}
99,{dot: 1},{},{dot: 3}
100,{dot: 1},{},{dot: 3}
101,{dot: 1},{},{dot: 3}
