,donor,recipient
0,"{PetriNet('donor_0_net'): 1, 'T0_plasmid_molecule': 1, 'T1_plasmid_molecule': 1, 'T2_plasmid_molecule': 1, 'T3_plasmid_molecule': 1, 'T4_plasmid_molecule': 1, 'T5_plasmid_molecule': 1, 'T6_plasmid_molecule': 1}","{PetriNet('recipient_0_net'): 1, 'T0_plasmid_molecule': 1, 'T1_plasmid_molecule': 1, 'T2_plasmid_molecule': 1, 'T3_plasmid_molecule': 1}"
1,"{PetriNet('donor_0_net'): 1, 'T0_plasmid_molecule': 1, 'T1_plasmid_molecule': 1, 'T2_plasmid_molecule': 1, 'T3_plasmid_molecule': 1, 'T4_plasmid_molecule': 1, 'T5_plasmid_molecule': 1, 'T6_plasmid_molecule': 1}","{PetriNet('recipient_0_net'): 1, 'T1_plasmid_molecule': 1, 'T2_plasmid_molecule': 1, 'T3_plasmid_molecule': 1, 'T0_protein_molecule': 1, 'T0_plasmid_molecule': 1}"
2,"{PetriNet('donor_0_net'): 1, 'T2_plasmid_molecule': 1, 'T3_plasmid_molecule': 1, 'T4_plasmid_molecule': 1, 'T5_plasmid_molecule': 1, 'T6_plasmid_molecule': 1, 'T1_protein_molecule': 1, 'T1_plasmid_molecule': 1, 'T0_protein_molecule': 1, 'T0_plasmid_molecule': 1}","{PetriNet('recipient_0_net'): 1, 'T1_plasmid_molecule': 1, 'T2_plasmid_molecule': 1, 'T3_plasmid_molecule': 1, 'T0_mod_protein_molecule': 1, 'T0_protein_molecule': 1, 'T0_plasmid_molecule': 1}"
3,"{PetriNet('donor_0_net'): 1, 'T3_plasmid_molecule': 1, 'T4_plasmid_molecule': 1, 'T5_plasmid_molecule': 1, 'T6_plasmid_molecule': 1, 'T1_plasmid_molecule': 1, 'T0_protein_molecule': 1, 'T0_plasmid_molecule': 1, 'T2_protein_molecule': 1, 'T2_plasmid_molecule': 1}","{PetriNet('recipient_0_net'): 1, 'T1_plasmid_molecule': 1, 'T2_plasmid_molecule': 1, 'T3_plasmid_molecule': 1, 'T0_mod_protein_molecule': 1, 'T0_plasmid_molecule': 1}"
4,"{PetriNet('donor_0_net'): 1, 'T3_plasmid_molecule': 1, 'T4_plasmid_molecule': 1, 'T5_plasmid_molecule': 1, 'T6_plasmid_molecule': 1, 'T0_plasmid_molecule': 1, 'T2_plasmid_molecule': 1, 'T1_protein_molecule': 1, 'T1_plasmid_molecule': 1}","{PetriNet('recipient_0_net'): 1, 'T1_plasmid_molecule': 1, 'T2_plasmid_molecule': 1, 'T3_plasmid_molecule': 1, 'T0_plasmid_molecule': 1}"
5,"{PetriNet('donor_0_net'): 1, 'T3_plasmid_molecule': 1, 'T4_plasmid_molecule': 1, 'T5_plasmid_molecule': 1, 'T6_plasmid_molecule': 1, 'T2_plasmid_molecule': 1, 'T0_protein_molecule': 1, 'T0_plasmid_molecule': 1, 'T1_mod_protein_molecule': 1, 'T1_protein_molecule': 1, 'T1_plasmid_molecule': 1}","{PetriNet('recipient_0_net'): 1, 'T2_plasmid_molecule': 1, 'T3_plasmid_molecule': 1, 'T0_plasmid_molecule': 1, 'T1_protein_molecule': 1, 'T1_plasmid_molecule': 1}"
6,"{PetriNet('donor_0_net'): 1, 'T3_plasmid_molecule': 1, 'T4_plasmid_molecule': 1, 'T5_plasmid_molecule': 1, 'T6_plasmid_molecule': 1, 'T0_protein_molecule': 1, 'T1_plasmid_molecule': 1, 'T2_protein_molecule': 1, 'T2_plasmid_molecule': 1, 'T0_plasmid_molecule': 1}","{PetriNet('recipient_0_net'): 1, 'T3_plasmid_molecule': 1, 'T0_plasmid_molecule': 1, 'T1_plasmid_molecule': 1, 'T2_protein_molecule': 1, 'T2_plasmid_molecule': 1}"
7,"{PetriNet('donor_0_net'): 1, 'T3_plasmid_molecule': 1, 'T4_plasmid_molecule': 1, 'T5_plasmid_molecule': 1, 'T6_plasmid_molecule': 1, 'T0_protein_molecule': 2, 'T2_plasmid_molecule': 1, 'T1_protein_molecule': 1, 'T1_plasmid_molecule': 1, 'T0_plasmid_molecule': 1}","{PetriNet('recipient_0_net'): 1, 'T3_plasmid_molecule': 1, 'T0_plasmid_molecule': 1, 'T2_plasmid_molecule': 1, 'T1_protein_molecule': 1, 'T1_plasmid_molecule': 1}"
8,"{PetriNet('donor_0_net'): 1, 'T3_plasmid_molecule': 1, 'T4_plasmid_molecule': 1, 'T5_plasmid_molecule': 1, 'T6_plasmid_molecule': 1, 'T0_plasmid_molecule': 1, 'T2_protein_molecule': 1, 'T2_plasmid_molecule': 1, 'T0_mod_protein_molecule': 1, 'T1_protein_molecule': 1, 'T1_plasmid_molecule': 1}","{PetriNet('recipient_0_net'): 1, 'T3_plasmid_molecule': 1, 'T1_plasmid_molecule': 1, 'T2_protein_molecule': 1, 'T2_plasmid_molecule': 1, 'T0_protein_molecule': 1, 'T0_plasmid_molecule': 1}"
9,"{PetriNet('donor_0_net'): 1, 'T3_plasmid_molecule': 1, 'T4_plasmid_molecule': 1, 'T5_plasmid_molecule': 1, 'T6_plasmid_molecule': 1, 'T2_plasmid_molecule': 1, 'T1_plasmid_molecule': 1, 'T1_mod_protein_molecule': 1, 'T0_protein_molecule': 1, 'T0_plasmid_molecule': 1}","{PetriNet('recipient_0_net'): 1, 'T3_plasmid_molecule': 1, 'T2_plasmid_molecule': 1, 'T0_protein_molecule': 2, 'T1_protein_molecule': 1, 'T1_plasmid_molecule': 1, 'T0_plasmid_molecule': 1}"
10,"{PetriNet('donor_0_net'): 1, 'T3_plasmid_molecule': 1, 'T4_plasmid_molecule': 1, 'T5_plasmid_molecule': 1, 'T6_plasmid_molecule': 1, 'T2_plasmid_molecule': 1, 'T0_plasmid_molecule': 1, 'T0_mod_protein_molecule': 1, 'T1_protein_molecule': 1, 'T1_plasmid_molecule': 1}","{PetriNet('recipient_0_net'): 1, 'T3_plasmid_molecule': 1, 'T0_protein_molecule': 2, 'T1_plasmid_molecule': 1, 'T0_plasmid_molecule': 1, 'T2_protein_molecule': 1, 'T2_plasmid_molecule': 1, 'T0_mod_protein_molecule': 1}"
11,"{PetriNet('donor_0_net'): 1, 'T3_plasmid_molecule': 1, 'T4_plasmid_molecule': 1, 'T5_plasmid_molecule': 1, 'T6_plasmid_molecule': 1, 'T1_mod_protein_molecule': 1, 'T1_plasmid_molecule': 1, 'T0_protein_molecule': 1, 'T0_plasmid_molecule': 1, 'T2_protein_molecule': 1, 'T2_plasmid_molecule': 1}","{PetriNet('recipient_0_net'): 1, 'T3_plasmid_molecule': 1, 'T1_plasmid_molecule': 1, 'T0_plasmid_molecule': 1, 'T2_protein_molecule': 1, 'T2_plasmid_molecule': 1, 'T0_mod_protein_molecule': 1}"
12,"{PetriNet('donor_0_net'): 1, 'T3_plasmid_molecule': 1, 'T4_plasmid_molecule': 1, 'T5_plasmid_molecule': 1, 'T6_plasmid_molecule': 1, 'T0_protein_molecule': 2, 'T2_plasmid_molecule': 1, 'T0_plasmid_molecule': 1, 'T1_protein_molecule': 1, 'T1_plasmid_molecule': 1}","{PetriNet('recipient_0_net'): 1, 'T3_plasmid_molecule': 1, 'T2_plasmid_molecule': 1, 'T0_mod_protein_molecule': 1, 'T1_protein_molecule': 1, 'T1_plasmid_molecule': 1, 'T0_protein_molecule': 1, 'T0_plasmid_molecule': 1}"
13,"{PetriNet('donor_0_net'): 1, 'T3_plasmid_molecule': 1, 'T4_plasmid_molecule': 1, 'T5_plasmid_molecule': 1, 'T6_plasmid_molecule': 1, 'T2_plasmid_molecule': 1, 'T1_plasmid_molecule': 1, 'T0_mod_protein_molecule': 1, 'T0_protein_molecule': 1, 'T0_plasmid_molecule': 1}","{PetriNet('recipient_0_net'): 1, 'T3_plasmid_molecule': 1, 'T2_plasmid_molecule': 1, 'T0_plasmid_molecule': 1, 'T1_plasmid_molecule': 1, 'T1_mod_protein_molecule': 1}"
14,"{PetriNet('donor_0_net'): 1, 'T3_plasmid_molecule': 1, 'T4_plasmid_molecule': 1, 'T5_plasmid_molecule': 1, 'T6_plasmid_molecule': 1, 'T2_plasmid_molecule': 1, 'T1_plasmid_molecule': 1, 'T0_protein_molecule': 1, 'T0_plasmid_molecule': 1}","{PetriNet('recipient_0_net'): 1, 'T3_plasmid_molecule': 1, 'T2_plasmid_molecule': 1, 'T1_plasmid_molecule': 1, 'T0_protein_molecule': 1, 'T0_plasmid_molecule': 1}"
15,"{PetriNet('donor_0_net'): 1, 'T3_plasmid_molecule': 1, 'T4_plasmid_molecule': 1, 'T5_plasmid_molecule': 1, 'T6_plasmid_molecule': 1, 'T2_plasmid_molecule': 1, 'T1_protein_molecule': 1, 'T1_plasmid_molecule': 1, 'T0_protein_molecule': 1, 'T0_plasmid_molecule': 1}","{PetriNet('recipient_0_net'): 1, 'T3_plasmid_molecule': 1, 'T2_plasmid_molecule': 1, 'T0_protein_molecule': 2, 'T1_protein_molecule': 1, 'T1_plasmid_molecule': 1, 'T0_plasmid_molecule': 1}"
16,"{PetriNet('donor_0_net'): 1, 'T3_plasmid_molecule': 1, 'T4_plasmid_molecule': 1, 'T5_plasmid_molecule': 1, 'T6_plasmid_molecule': 1, 'T1_protein_molecule': 1, 'T0_plasmid_molecule': 1, 'T1_plasmid_molecule': 1, 'T2_protein_molecule': 1, 'T2_plasmid_molecule': 1}","{PetriNet('recipient_0_net'): 1, 'T3_plasmid_molecule': 1, 'T2_plasmid_molecule': 1, 'T0_protein_molecule': 1, 'T1_mod_protein_molecule': 1, 'T0_plasmid_molecule': 1, 'T0_mod_protein_molecule': 1, 'T1_protein_molecule': 1, 'T1_plasmid_molecule': 1}"
17,"{PetriNet('donor_0_net'): 1, 'T3_plasmid_molecule': 1, 'T4_plasmid_molecule': 1, 'T5_plasmid_molecule': 1, 'T6_plasmid_molecule': 1, 'T0_plasmid_molecule': 1, 'T1_plasmid_molecule': 1, 'T2_protein_molecule': 1, 'T2_plasmid_molecule': 1}","{PetriNet('recipient_0_net'): 1, 'T3_plasmid_molecule': 1, 'T0_mod_protein_molecule': 1, 'T2_protein_molecule': 1, 'T2_plasmid_molecule': 1, 'T1_plasmid_molecule': 1, 'T0_plasmid_molecule': 1}"
18,"{PetriNet('donor_0_net'): 1, 'T3_plasmid_molecule': 1, 'T4_plasmid_molecule': 1, 'T5_plasmid_molecule': 1, 'T6_plasmid_molecule': 1, 'T2_plasmid_molecule': 1, 'T1_protein_molecule': 1, 'T1_plasmid_molecule': 1, 'T0_protein_molecule': 1, 'T0_plasmid_molecule': 1}","{PetriNet('recipient_0_net'): 1, 'T3_plasmid_molecule': 1, 'T2_plasmid_molecule': 1, 'T1_plasmid_molecule': 1, 'T0_protein_molecule': 1, 'T0_plasmid_molecule': 1}"
19,"{PetriNet('donor_0_net'): 1, 'T3_plasmid_molecule': 1, 'T4_plasmid_molecule': 1, 'T5_plasmid_molecule': 1, 'T6_plasmid_molecule': 1, 'T1_plasmid_molecule': 1, 'T2_protein_molecule': 1, 'T2_plasmid_molecule': 1, 'T0_protein_molecule': 1, 'T0_plasmid_molecule': 1}","{PetriNet('recipient_0_net'): 1, 'T3_plasmid_molecule': 1, 'T2_plasmid_molecule': 1, 'T1_plasmid_molecule': 1, 'T0_plasmid_molecule': 1, 'T0_mod_protein_molecule': 1}"
