,S1_molecule,S2_molecule,T0_mod_protein_molecule,T0_plasmid_molecule,T0_protein_molecule,T1_mod_protein_molecule,T1_plasmid_molecule,T1_protein_molecule,T2_mod_protein_molecule,T2_plasmid_molecule,T2_protein_molecule,T3_mod_protein_molecule,T3_plasmid_molecule,T3_protein_molecule,T4_mod_protein_molecule,T4_plasmid_molecule,T4_plasmid_strand_molecule,T4_protein_molecule,T5_mod_protein_molecule,T5_plasmid_molecule,T5_plasmid_strand_molecule,T5_protein_molecule,T6_mod_protein_molecule,T6_plasmid_molecule,T6_plasmid_strand_molecule,T6_protein_molecule
0,{},{},{},{dot: 1},{},{},{dot: 1},{},{},{dot: 1},{},{},{dot: 1},{},{},{},{},{},{},{},{},{},{},{},{},{}
1,{},{},{},{dot: 1},{dot: 1},{},{dot: 1},{},{},{dot: 1},{},{},{dot: 1},{},{},{},{},{},{},{},{},{},{},{},{},{}
2,{},{},{dot: 1},{dot: 1},{dot: 1},{},{dot: 1},{},{},{dot: 1},{},{},{dot: 1},{},{},{},{},{},{},{},{},{},{},{},{},{}
3,{},{},{dot: 1},{dot: 1},{},{},{dot: 1},{},{},{dot: 1},{},{},{dot: 1},{},{},{},{},{},{},{},{},{},{},{},{},{}
4,{},{},{},{dot: 1},{},{},{dot: 1},{},{},{dot: 1},{},{},{dot: 1},{},{},{},{},{},{},{},{},{},{},{},{},{}
5,{},{},{},{dot: 1},{},{},{dot: 1},{dot: 1},{},{dot: 1},{},{},{dot: 1},{},{},{},{},{},{},{},{},{},{},{},{},{}
6,{},{},{},{dot: 1},{},{},{dot: 1},{},{},{dot: 1},{dot: 1},{},{dot: 1},{},{},{},{},{},{},{},{},{},{},{},{},{}
7,{},{},{},{dot: 1},{},{},{dot: 1},{dot: 1},{},{dot: 1},{},{},{dot: 1},{},{},{},{},{},{},{},{},{},{},{},{},{}
8,{},{},{},{dot: 1},{dot: 1},{},{dot: 1},{},{},{dot: 1},{dot: 1},{},{dot: 1},{},{},{},{},{},{},{},{},{},{},{},{},{}
9,{},{},{},{dot: 1},{dot: 2},{},{dot: 1},{dot: 1},{},{dot: 1},{},{},{dot: 1},{},{},{},{},{},{},{},{},{},{},{},{},{}
10,{},{},{dot: 1},{dot: 1},{dot: 2},{},{dot: 1},{},{},{dot: 1},{dot: 1},{},{dot: 1},{},{},{},{},{},{},{},{},{},{},{},{},{}
11,{},{},{dot: 1},{dot: 1},{},{},{dot: 1},{},{},{dot: 1},{dot: 1},{},{dot: 1},{},{},{},{},{},{},{},{},{},{},{},{},{}
12,{},{},{dot: 1},{dot: 1},{dot: 1},{},{dot: 1},{dot: 1},{},{dot: 1},{},{},{dot: 1},{},{},{},{},{},{},{},{},{},{},{},{},{}
13,{},{},{},{dot: 1},{},{dot: 1},{dot: 1},{},{},{dot: 1},{},{},{dot: 1},{},{},{},{},{},{},{},{},{},{},{},{},{}
14,{},{},{},{dot: 1},{dot: 1},{},{dot: 1},{},{},{dot: 1},{},{},{dot: 1},{},{},{},{},{},{},{},{},{},{},{},{},{}
15,{},{},{},{dot: 1},{dot: 2},{},{dot: 1},{dot: 1},{},{dot: 1},{},{},{dot: 1},{},{},{},{},{},{},{},{},{},{},{},{},{}
16,{},{},{dot: 1},{dot: 1},{dot: 1},{dot: 1},{dot: 1},{dot: 1},{},{dot: 1},{},{},{dot: 1},{},{},{},{},{},{},{},{},{},{},{},{},{}
17,{},{},{dot: 1},{dot: 1},{},{},{dot: 1},{},{},{dot: 1},{dot: 1},{},{dot: 1},{},{},{},{},{},{},{},{},{},{},{},{},{}
18,{},{},{},{dot: 1},{dot: 1},{},{dot: 1},{},{},{dot: 1},{},{},{dot: 1},{},{},{},{},{},{},{},{},{},{},{},{},{}
19,{},{},{dot: 1},{dot: 1},{},{},{dot: 1},{},{},{dot: 1},{},{},{dot: 1},{},{},{},{},{},{},{},{},{},{},{},{},{}
20,{},{},{},{dot: 1},{},{},{dot: 1},{},{},{dot: 1},{},{},{dot: 1},{},{},{},{},{},{},{},{},{},{},{},{},{}
21,{},{},{},{dot: 1},{},{},{dot: 1},{dot: 1},{},{dot: 1},{},{},{dot: 1},{},{},{},{},{},{},{},{},{},{},{},{},{}
22,{},{},{},{dot: 1},{dot: 1},{dot: 1},{dot: 1},{dot: 1},{},{dot: 1},{},{},{dot: 1},{},{},{},{},{},{},{},{},{},{},{},{},{}
23,{},{},{dot: 1},{dot: 1},{},{dot: 1},{dot: 1},{},{},{dot: 1},{dot: 1},{},{dot: 1},{},{},{},{},{},{},{},{},{},{},{},{},{}
24,{},{},{},{dot: 1},{dot: 1},{},{dot: 1},{dot: 1},{},{dot: 1},{},{},{dot: 1},{},{},{},{},{},{},{},{},{},{},{},{},{}
25,{},{},{},{dot: 1},{},{dot: 1},{dot: 1},{dot: 1},{},{dot: 1},{},{},{dot: 1},{},{},{},{},{},{},{},{},{},{},{},{},{}
26,{},{},{},{dot: 1},{dot: 1},{dot: 1},{dot: 1},{},{},{dot: 1},{dot: 1},{},{dot: 1},{},{},{},{},{},{},{},{},{},{},{},{},{}
27,{},{},{dot: 1},{dot: 1},{},{},{dot: 1},{dot: 1},{},{dot: 1},{dot: 1},{},{dot: 1},{},{},{},{},{},{},{},{},{},{},{},{},{}
28,{},{},{},{dot: 1},{},{dot: 1},{dot: 1},{dot: 1},{},{dot: 1},{},{},{dot: 1},{},{},{},{},{},{},{},{},{},{},{},{},{}
29,{},{},{},{dot: 1},{dot: 1},{},{dot: 1},{},{},{dot: 1},{dot: 1},{},{dot: 1},{},{},{},{},{},{},{},{},{},{},{},{},{}
30,{},{},{},{dot: 1},{},{},{dot: 1},{dot: 1},{},{dot: 1},{},{},{dot: 1},{},{},{},{},{},{},{},{},{},{},{},{},{}
31,{},{},{},{dot: 1},{dot: 1},{},{dot: 1},{},{},{dot: 1},{},{},{dot: 1},{},{},{},{},{},{},{},{},{},{},{},{},{}
32,{},{},{dot: 1},{dot: 1},{dot: 1},{},{dot: 1},{dot: 1},{},{dot: 1},{},{},{dot: 1},{},{},{},{},{},{},{},{},{},{},{},{},{}
33,{},{},{},{dot: 1},{},{dot: 1},{dot: 1},{},{},{dot: 1},{},{},{dot: 1},{},{},{},{},{},{},{},{},{},{},{},{},{}
34,{},{},{},{dot: 1},{dot: 1},{},{dot: 1},{},{},{dot: 1},{},{},{dot: 1},{},{},{},{},{},{},{},{},{},{},{},{},{}
35,{},{},{},{dot: 1},{dot: 1},{},{dot: 1},{dot: 1},{},{dot: 1},{},{},{dot: 1},{},{},{},{},{},{},{},{},{},{},{},{},{}
36,{},{},{dot: 1},{dot: 1},{},{},{dot: 1},{},{},{dot: 1},{dot: 1},{},{dot: 1},{},{},{},{},{},{},{},{},{},{},{},{},{}
37,{},{},{},{dot: 1},{dot: 2},{},{dot: 1},{dot: 1},{},{dot: 1},{},{},{dot: 1},{},{},{},{},{},{},{},{},{},{},{},{},{}
38,{},{},{dot: 1},{dot: 1},{dot: 1},{},{dot: 1},{dot: 1},{},{dot: 1},{},{},{dot: 1},{},{},{},{},{},{},{},{},{},{},{},{},{}
39,{},{},{},{dot: 1},{dot: 1},{},{dot: 1},{dot: 1},{},{dot: 1},{dot: 1},{},{dot: 1},{},{},{},{},{},{},{},{},{},{},{},{},{}
40,{},{},{dot: 1},{dot: 1},{dot: 1},{},{dot: 1},{dot: 1},{},{dot: 1},{},{},{dot: 1},{},{},{},{},{},{},{},{},{},{},{},{},{}
41,{},{},{},{dot: 1},{dot: 1},{},{dot: 1},{},{},{dot: 1},{dot: 1},{},{dot: 1},{},{},{},{},{},{},{},{},{},{},{},{},{}
42,{},{},{dot: 1},{dot: 1},{dot: 1},{},{dot: 1},{dot: 1},{},{dot: 1},{dot: 1},{},{dot: 1},{},{},{},{},{},{},{},{},{},{},{},{},{}
43,{},{},{dot: 1},{dot: 1},{dot: 2},{},{dot: 1},{dot: 1},{},{dot: 1},{},{},{dot: 1},{},{},{},{},{},{},{},{},{},{},{},{},{}
44,{},{},{dot: 1},{dot: 1},{dot: 1},{},{dot: 1},{},{},{dot: 1},{dot: 1},{},{dot: 1},{},{},{},{},{},{},{},{},{},{},{},{},{}
