,victim
0,"{PetriNet('hs_0_net'): 1, 'MP_molecule': 10, 'TH_molecule': 10, 'B_molecule': 10}"
1,"{PetriNet('hs_0_net'): 1, 'MP_molecule': 18, 'TH_molecule': 19, 'B_molecule': 19}"
2,"{PetriNet('hs_0_net'): 1, 'MP_molecule': 27, 'TH_molecule': 28, 'B_molecule': 28}"
3,"{PetriNet('hs_0_net'): 1, 'MP_molecule': 35, 'TH_molecule': 37, 'B_molecule': 36}"
4,"{PetriNet('hs_0_net'): 1, 'MP_molecule': 43, 'TH_molecule': 45, 'B_molecule': 45}"
5,"{PetriNet('hs_0_net'): 1, 'MP_molecule': 51, 'TH_molecule': 54, 'B_molecule': 53}"
6,"{PetriNet('hs_0_net'): 1, 'MP_molecule': 59, 'TH_molecule': 62, 'B_molecule': 61}"
7,"{PetriNet('hs_0_net'): 1, 'MP_molecule': 67, 'TH_molecule': 61, 'B_molecule': 69}"
8,"{PetriNet('hs_0_net'): 1, 'MP_molecule': 75, 'TH_molecule': 69, 'B_molecule': 68}"
9,"{PetriNet('hs_0_net'): 1, 'MP_molecule': 83, 'TH_molecule': 77, 'B_molecule': 67}"
10,"{PetriNet('hs_0_net'): 1, 'MP_molecule': 82, 'TH_molecule': 85, 'B_molecule': 75}"
11,"{PetriNet('hs_0_net'): 1, 'MP_molecule': 81, 'TH_molecule': 93, 'B_molecule': 83}"
12,"{PetriNet('hs_0_net'): 1, 'MP_molecule': 89, 'TH_molecule': 101, 'B_molecule': 92}"
13,"{PetriNet('hs_0_net'): 1, 'MP_molecule': 97, 'TH_molecule': 110, 'B_molecule': 101}"
14,"{PetriNet('hs_0_net'): 1, 'MP_molecule': 105, 'TH_molecule': 118, 'B_molecule': 109}"
15,"{PetriNet('hs_0_net'): 1, 'MP_molecule': 113, 'TH_molecule': 126, 'B_molecule': 117}"
16,"{PetriNet('hs_0_net'): 1, 'MP_molecule': 112, 'TH_molecule': 134, 'B_molecule': 116}"
17,"{PetriNet('hs_0_net'): 1, 'MP_molecule': 120, 'TH_molecule': 133, 'B_molecule': 124}"
18,"{PetriNet('hs_0_net'): 1, 'MP_molecule': 120, 'TH_molecule': 141, 'B_molecule': 133}"
19,"{PetriNet('hs_0_net'): 1, 'MP_molecule': 128, 'TH_molecule': 149, 'B_molecule': 141}"
20,"{PetriNet('hs_0_net'): 1, 'MP_molecule': 136, 'TH_molecule': 157, 'B_molecule': 149}"
21,"{PetriNet('hs_0_net'): 1, 'MP_molecule': 145, 'TH_molecule': 165, 'B_molecule': 157}"
